,nom,etablissement,Date,prix
243,Van Gogh : Deux frères pour une vie,Guichet-Montparnasse,<b>Du 8 septembre 2023 au 29 décembre 2023</b>,variable
244,Invisibili,Théâtre de la Ville - Les Abbesses,<b>Du 5 janvier 2024 au 20 janvier 2024</b>,variable
245,Le Consentement,Théâtre du Rond-Point,<b>Du 7 mars 2024 au 6 avril 2024</b>,variable
246,Gamètes,Théâtre de Belleville,<b>Du 6 décembre 2023 au 30 décembre 2023</b>,variable
247,Antoine de Maximy : J'irai dormir sur scène,Le Grand Point Virgule,<b>Du 27 décembre 2023 au 13 janvier 2024</b>,variable
248,Les galets au Tilleul sont plus petits qu’au Havre (ce qui rend la baignade bien plus agréable),Théâtre de l'Atelier,<b>Du 12 janvier 2024 au 10 mars 2024</b>,variable
249,Quinder extra,Théâtre des Blancs Manteaux,<b>Du 24 octobre 2022 au 30 mars 2024</b>,variable
250,Le problème lapin - Cartographie 7,Théâtre du Rond-Point,<b>Du 10 janvier 2024 au 27 janvier 2024</b>,variable
251,L'Amour de l'art,Le Centquatre (104),<b>Du 24 janvier 2024 au 27 janvier 2024</b>,variable
252,L'Amour de l'art,Théâtre de la Bastille,<b>Du 10 janvier 2024 au 20 janvier 2024</b>,variable
253,Jamais seul,La Manufacture des Abbesses,<b>Du 6 décembre 2023 au 13 janvier 2024</b>,variable
254,S'abandonner à vivre,Théâtre de Poche-Montparnasse,<b>Du 4 septembre 2023 au 29 janvier 2024</b>,variable
255,Il faut qu'une porte soit ouverte ou fermée,Théâtre L'Essaïon,<b>Du 3 octobre 2023 au 9 janvier 2024</b>,variable
256,VIRIL(E·S),Théâtre Lepic,<b>Du 5 octobre 2023 au 7 janvier 2024</b>,variable
257,James Brown mettait des bigoudis,Théâtre Marigny,<b>Du 28 mars 2024 au 5 mai 2024</b>,variable
258,Le Joueur d'échecs,Théâtre Darius Milhaud,<b>Du 12 janvier 2024 au 29 mars 2024</b>,variable
259,Madame Marguerite,Théâtre L'Essaïon,<b>Du 17 octobre 2023 au 17 janvier 2024</b>,variable
260,Homini Lupus,Théâtre La Croisée des Chemins,<b>Du 10 novembre 2023 au 30 décembre 2023</b>,variable
261,L'habit ne fait pas le Kir,Théâtre des Deux Ânes,<b>Du 4 octobre 2023 au 28 décembre 2023</b>,variable
262,Eleonora Galasso : Dévorante,Théâtre des Mathurins,<b>Du 16 janvier 2024 au 26 mars 2024</b>,variable
263,Racine par la racine,Théâtre L'Essaïon,<b>Du 4 octobre 2023 au 26 juin 2024</b>,variable
264,"Colette, l’incorrigible… besoin d’écrire",À la Folie Théâtre,<b>Du 1 décembre 2023 au 2 mars 2024</b>,variable
265,Incandescences,Théâtre de la Tempête - Cartoucherie,<b>Du 29 février 2024 au 31 mars 2024</b>,variable
266,L'Abus d'amour,Comédie Saint-Michel,<b>Du 8 septembre 2023 au 6 janvier 2024</b>,variable
267,N’importe où hors du monde,Guichet-Montparnasse,<b>Du 14 décembre 2023 au 28 mars 2024</b>,variable
268,Le Journal d’une femme de chambre,Théâtre Darius Milhaud,<b>Du 12 septembre 2023 au 25 juin 2024</b>,variable
269,Le Malade imaginaire,Espace Marais,<b>Du 24 septembre 2023 au 7 janvier 2024</b>,variable
270,Le Joueur d'échecs,Espace Marais,<b>Du 24 septembre 2023 au 7 janvier 2024</b>,variable
271,Amok,Théâtre Darius Milhaud,<b>Du 16 octobre 2023 au 20 mai 2024</b>,variable
272,Célimène et le Cardinal,Comédie Saint-Michel,<b>Du 5 octobre 2023 au 4 janvier 2024</b>,variable
273,Crusoé repart,Studio Hébertot,<b>Du 27 décembre 2023 au 24 janvier 2024</b>,variable
274,Le Paradoxe du désir,Guichet-Montparnasse,<b>Du 5 janvier 2024 au 25 février 2024</b>,variable
275,"Chateaubriand, Mémoires d'outre-tombe",Théâtre de Poche-Montparnasse,<b>Du 18 janvier 2024 au 16 mars 2024</b>,variable
276,Un moment avec Victor Hugo,Théâtre du Nord-Ouest,<b>Du 23 octobre 2023 au 2 janvier 2024</b>,variable
277,Radicale,Théâtre L'Essaïon,<b>Du 31 août 2023 au 13 janvier 2024</b>,variable
278,L'École des maris,Théâtre du Nord-Ouest,<b>Du 14 novembre 2023 au 28 décembre 2023</b>,variable
279,Trafiquée,Théâtre La Croisée des Chemins,<b>Du 5 novembre 2023 au 28 décembre 2023</b>,variable
280,Le Prix de l'ascension,Comédie de Paris,<b>Du 12 janvier 2024 au 24 mars 2024</b>,variable
281,Que sur toi se lamente le tigre,Théâtre de la Tempête - Cartoucherie,<b>Du 12 janvier 2024 au 11 février 2024</b>,variable
282,Les Forteresses,Théâtre de la Bastille,<b>Du 5 février 2024 au 11 février 2024</b>,variable
283,Nulle autre voix,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 7 décembre 2023 au 23 décembre 2023</b>,variable
284,L'Appel,Lavoir Moderne Parisien,<b>Du 19 décembre 2023 au 23 décembre 2023</b>,variable
285,Vous n'aurez pas la Bretagne !,Théâtre de la Contrescarpe,<b>Du 16 janvier 2024 au 27 février 2024</b>,variable
286,De Gaulle est de retour,Théâtre des Deux Ânes,<b>Du 7 octobre 2023 au 25 février 2024</b>,variable
287,Fragments,La Scala Paris,<b>Du 24 janvier 2024 au 2 février 2024</b>,variable
288,Le Mandat,Théâtre de la Tempête - Cartoucherie,<b>Du 18 avril 2024 au 5 mai 2024</b>,variable
289,Iphigénie,Théâtre Douze,<b>Le 15 janvier 2024</b>,variable
290,Koulounisation,Théâtre de la Bastille,<b>Du 29 avril 2024 au 12 mai 2024</b>,variable
291,Wall Street malgré moi,Le Funambule Montmartre,<b>Du 6 septembre 2023 au 3 janvier 2024</b>,variable
292,Claudel en partage,Comédie Saint-Michel,<b>Du 6 septembre 2023 au 7 janvier 2024</b>,variable
293,"La Nuit, adaptation des nouvelles de Guy de Maupassant",La Scala Paris,<b>Du 17 janvier 2024 au 28 janvier 2024</b>,variable
294,Un sentiment de vie,Théâtre des Bouffes du Nord,<b>Du 11 janvier 2024 au 27 janvier 2024</b>,variable
295,La Folle Histoire de l'île mystérieuse,Les Enfants du Paradis,<b>Du 20 janvier 2024 au 14 avril 2024</b>,variable
296,Les Sphères ennemies,Les Enfants du Paradis,<b>Du 19 septembre 2023 au 2 janvier 2024</b>,variable
297,Vous dansez mademoiselle ?,Théâtre des Blancs Manteaux,<b>Du 11 septembre 2023 au 25 mars 2024</b>,variable
298,Trilogie des secrets : Curtain Call!,La Colline - Théâtre national,<b>Du 9 janvier 2024 au 21 janvier 2024</b>,variable
299,Je m’appelle Asher Lev,Théâtre des Béliers Parisiens,<b>Du 12 janvier 2024 au 29 février 2024</b>,variable
300,L'Arnaqueuse,Théâtre Mélo d'Amélie,<b>Du 13 septembre 2023 au 27 décembre 2023</b>,variable
301,Huis Clos,Laurette Théâtre,<b>Du 22 septembre 2023 au 19 mai 2024</b>,variable
302,Eccentric,La Nouvelle Ève,<b>Du 15 novembre 2023 au 27 décembre 2023</b>,variable
303,En Addicto,Théâtre de l'Aquarium - Cartoucherie,<b>Du 8 mars 2024 au 10 mars 2024</b>,variable
304,La Belle Histoire de Coline Serreau,Théâtre Michel,<b>Du 23 octobre 2023 au 25 mars 2024</b>,variable
305,Quand je serai un homme,Théâtre L'Essaïon,<b>Du 19 janvier 2024 au 13 avril 2024</b>,variable
306,J'accuse [France],Théâtre 13 - Bibliothèque,<b>Du 10 janvier 2024 au 20 janvier 2024</b>,variable
307,Stigmates de la gloire,À la Folie Théâtre,<b>Du 16 novembre 2023 au 3 février 2024</b>,variable
308,Leçons de philosophie drôles et très sérieuses,Théâtre de la Contrescarpe,<b>Du 4 octobre 2023 au 14 février 2024</b>,variable
309,Conversation intime : Catherine Frot,Théâtre Antoine,<b>Le 29 janvier 2024</b>,variable
310,Cache cache nerveux,Comédie Saint-Michel,<b>Du 9 septembre 2023 au 7 janvier 2024</b>,variable
311,Jours de joie,Odéon - Ateliers Berthier,<b>Du 20 avril 2024 au 5 mai 2024</b>,variable
312,Le Dictionnaire amoureux de l’inutile,La Scala Paris,<b>Du 18 mai 2024 au 1 juin 2024</b>,variable
313,Le Molière imaginaire,Théâtre du Soleil - Cartoucherie,<b>Du 16 janvier 2024 au 24 janvier 2024</b>,variable
314,Parpaing,Théâtre 13 - Glacière,<b>Du 24 janvier 2024 au 3 février 2024</b>,variable
315,Personne,Théâtre 14,<b>Du 9 janvier 2024 au 27 janvier 2024</b>,variable
316,Les Bonnes,Théâtre 14,<b>Du 27 février 2024 au 23 mars 2024</b>,variable
317,"Nora, Nora, Nora ! De l’influence des épouses sur les chefs-d’œuvre",Théâtre de la Tempête - Cartoucherie,<b>Du 1 mars 2024 au 31 mars 2024</b>,variable
318,L'Hôtel des sept,Comédie Saint-Michel,<b>Du 10 janvier 2024 au 3 mai 2024</b>,variable
319,Puisque tu pars,Théâtre L'Essaïon,<b>Du 24 janvier 2024 au 28 mars 2024</b>,variable
320,Les Paravents,Odéon - Théâtre de l'Europe,<b>Du 31 mai 2024 au 19 juin 2024</b>,variable
321,Petits silences gênés,Théâtre Darius Milhaud,<b>Du 2 février 2024 au 20 avril 2024</b>,variable
322,Pour un oui ou pour un non,Théâtre du Nord-Ouest,<b>Du 16 octobre 2023 au 29 décembre 2023</b>,variable
323,Music-Hall,Théâtre du Nord-Ouest,<b>Du 18 novembre 2023 au 1 janvier 2024</b>,variable
324,Rendez-vous à l'Élysée,Théâtre de Nesle,<b>Du 2 décembre 2023 au 20 janvier 2024</b>,variable
325,L'Ordinaire Histoire d'Ernest Boubouroche,Théâtre de Nesle,<b>Du 10 novembre 2023 au 31 décembre 2023</b>,variable
326,Le Marchand de Venise,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 15 mars 2024 au 31 mars 2024</b>,variable
327,"4,7% de liberté",Théâtre de la Ville - Les Abbesses,<b>Du 27 février 2024 au 2 mars 2024</b>,variable
328,Le Mariage de Figaro,Théâtre Ranelagh,<b>Du 24 octobre 2023 au 14 avril 2024</b>,variable
329,Je me suis perdue en chemin [pour toi],Théâtre Darius Milhaud,<b>Du 4 janvier 2024 au 11 avril 2024</b>,variable
330,Tout le temps du monde,La Colline - Théâtre national,<b>Du 30 janvier 2024 au 11 février 2024</b>,variable
331,Backlash,Théâtre de Belleville,<b>Du 6 janvier 2024 au 31 mars 2024</b>,variable
332,Pour un temps sois peu,Théâtre Paris-Villette,<b>Du 24 janvier 2024 au 3 février 2024</b>,variable
333,Francis : Itinéraire d'un enfant raté,La Divine Comédie,<b>Du 8 janvier 2024 au 29 avril 2024</b>,variable
334,Le Projet Marivaux,Guichet-Montparnasse,<b>Du 14 janvier 2024 au 31 mars 2024</b>,variable
335,Le Deuxième Coup de feu,Théâtre Darius Milhaud,<b>Du 7 janvier 2024 au 18 février 2024</b>,variable
336,Le Triomphe de l'amour,Théâtre du Nord-Ouest,<b>Du 13 mai 2023 au 27 décembre 2023</b>,variable
337,Vertige (2001-2021),Théâtre Silvia Monfort,<b>Du 10 janvier 2024 au 13 janvier 2024</b>,variable
338,Crécelle,Guichet-Montparnasse,<b>Du 4 janvier 2024 au 25 février 2024</b>,variable
339,Showgirl,Théâtre de la Bastille,<b>Du 26 février 2024 au 9 mars 2024</b>,variable
340,Love Addict,Théâtre Le Passage vers les Étoiles,<b>Du 20 octobre 2023 au 27 janvier 2024</b>,variable
341,A l'ombre de mon tepee,La Petite Croisée des Chemins,<b>Du 11 novembre 2023 au 30 décembre 2023</b>,variable
342,George Dandin ou le mari confondu,Théâtre Darius Milhaud,<b>Du 16 décembre 2023 au 17 février 2024</b>,variable
343,Le Grand Jour,Théâtre de Belleville,<b>Du 4 février 2024 au 26 février 2024</b>,variable
344,Macbeth,Théâtre L'Essaïon,<b>Du 4 avril 2024 au 15 juin 2024</b>,variable
345,La Conférence de Charles Pépin : Vivre avec son passé,Théâtre de la Porte Saint-Martin,<b>Le 5 mars 2024</b>,variable
346,Prima Facie,Théâtre Montparnasse,<b>Du 17 janvier 2024 au 30 mars 2024</b>,variable
347,L'Événement,Théâtre de l'Atelier,<b>Du 13 février 2024 au 27 mars 2024</b>,variable
348,Rohtko,Odéon - Ateliers Berthier,<b>Du 31 janvier 2024 au 9 février 2024</b>,variable
349,Péplum médiéval,Le Centquatre (104),<b>Du 1 février 2024 au 3 février 2024</b>,variable
350,Être peintre,Théâtre 14,<b>Du 30 janvier 2024 au 10 février 2024</b>,variable
351,Toute nue,Théâtre de la Tempête - Cartoucherie,<b>Du 16 mai 2024 au 26 mai 2024</b>,variable
352,Le Misanthrope,Théâtre Montmartre Galabru,<b>Du 24 février 2024 au 27 avril 2024</b>,variable
353,Éventails et Médisances,Théâtre Pixel,<b>Du 15 décembre 2023 au 21 janvier 2024</b>,variable
354,"Les parents viennent de Mars, les enfants du McDo ! Chez Maman",Théâtre des Blancs Manteaux,<b>Du 23 octobre 2022 au 30 mars 2024</b>,variable
355,Second souffle,Le Funambule Montmartre,<b>Du 5 février 2024 au 23 avril 2024</b>,variable
356,Lights on Chaplin,Théâtre Montmartre Galabru,<b>Du 23 septembre 2023 au 13 janvier 2024</b>,variable
357,Avant la terreur,La Colline - Théâtre national,<b>Du 15 juin 2024 au 27 juin 2024</b>,variable
358,Media Vita,Théâtre de la Reine Blanche,<b>Du 10 janvier 2024 au 4 février 2024</b>,variable
359,Ceux qui se sont évaporés,Théâtre de Belleville,<b>Du 4 février 2024 au 27 février 2024</b>,variable
360,Diari d'amore,Athénée Théâtre Louis-Jouvet,<b>Du 6 juin 2024 au 16 juin 2024</b>,variable
361,Finlandia,Théâtre des Bouffes du Nord,<b>Du 1 mars 2024 au 10 mars 2024</b>,variable
362,Dieu ne fait rien pour les faibles,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 11 janvier 2024 au 28 janvier 2024</b>,variable
363,Huit rois (nos présidents) : V. Giscard d'Estaing,Théâtre 13 - Glacière,<b>Du 13 juin 2024 au 28 juin 2024</b>,variable
364,L'Art de ne pas dire,Théâtre Lepic,<b>Du 28 janvier 2024 au 2 avril 2024</b>,variable
365,Les 7 nuits de la Reine,Théâtre L'Essaïon,<b>Du 25 septembre 2023 au 29 janvier 2024</b>,variable
366,Metoo ?,Comédie des Trois Bornes,<b>Du 23 octobre 2023 au 29 janvier 2024</b>,variable
367,La Mort d'Empédocle,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 6 février 2024 au 18 février 2024</b>,variable
368,En scène monsieur Guitry,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 1 février 2024 au 11 février 2024</b>,variable
369,Queen Kong,Théâtre La Croisée des Chemins,<b>Du 9 novembre 2023 au 29 décembre 2023</b>,variable
370,Éric Chartier,Au Port du Salut,<b>Du 8 novembre 2023 au 26 juin 2024</b>,variable
371,Le bar de l'oriental,Théâtre Montparnasse,<b>Du 7 février 2024 au 28 avril 2024</b>,variable
372,Derrière les lignes ennemies,Théâtre du Rond-Point,<b>Du 23 janvier 2024 au 10 février 2024</b>,variable
373,Fin de partie,Théâtre de l'Atelier,<b>Du 5 juin 2024 au 14 juillet 2024</b>,variable
374,La Trajectoire des gamètes,Le Funambule Montmartre,<b>Du 4 octobre 2023 au 31 janvier 2024</b>,variable
375,La Métamorphose des cigognes,La Pépinière Théâtre,<b>Du 27 janvier 2024 au 27 avril 2024</b>,variable
376,Terrasses,La Colline - Théâtre national,<b>Du 15 mai 2024 au 9 juin 2024</b>,variable
377,Julia,Théâtre Silvia Monfort,<b>Du 3 avril 2024 au 6 avril 2024</b>,variable
378,Le Journal intime d'Adam et Eve,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 29 février 2024 au 10 mars 2024</b>,variable
379,Splendeurs et misères,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 22 février 2024 au 10 mars 2024</b>,variable
380,Les Consolantes,Théâtre 13 - Bibliothèque,<b>Du 30 janvier 2024 au 9 février 2024</b>,variable
381,Les Vagues,Théâtre de la Tempête - Cartoucherie,<b>Du 16 mai 2024 au 26 mai 2024</b>,variable
382,Les Consolantes,L'Étoile du Nord,<b>Du 24 janvier 2024 au 26 janvier 2024</b>,variable
383,24 secondes,L'Étoile du Nord,<b>Du 19 avril 2024 au 21 avril 2024</b>,variable
384,Soirée prendre part - Nos intelligences,L'Étoile du Nord,<b>Le 16 mars 2024</b>,variable
385,Bérénice,Théâtre Darius Milhaud,<b>Du 10 janvier 2024 au 27 mars 2024</b>,variable
386,Juste un sourire,Théâtre Pixel,<b>Du 7 novembre 2023 au 26 décembre 2023</b>,variable
387,Thomas joue ses perruques (Deluxe Edition),Théâtre de l'Atelier,<b>Du 23 janvier 2024 au 1 février 2024</b>,variable
388,Le Coup de la panne,Théâtre du Marais,<b>Du 13 janvier 2024 au 30 mars 2024</b>,variable
389,Le Tigre bleu de l'Euphrate,La Colline - Théâtre national,<b>Du 24 mai 2024 au 16 juin 2024</b>,variable
390,L'Enfant brûlé,Odéon - Ateliers Berthier,<b>Du 27 février 2024 au 17 mars 2024</b>,variable
391,Hubris,Le Funambule Montmartre,<b>Du 18 janvier 2024 au 11 février 2024</b>,variable
392,Un état de nos vies,Théâtre du Rond-Point,<b>Du 21 mai 2024 au 31 mai 2024</b>,variable
393,Florence et Moustafa,Théâtre 14,<b>Du 9 septembre 2023 au 20 janvier 2024</b>,variable
394,Précisément par Hasard,Comédie Nation,<b>Du 23 novembre 2023 au 8 février 2024</b>,variable
395,Le Crédit,Théâtre L'Essaïon,<b>Du 11 septembre 2023 au 22 janvier 2024</b>,variable
396,"Rhinocéros, la nouvelle",Théâtre L'Essaïon,<b>Du 18 avril 2024 au 13 juin 2024</b>,variable
397,La Véritable Histoire de Dracula,Théâtre de la Tour Eiffel,<b>Du 4 février 2024 au 18 février 2024</b>,variable
398,King Kong Théorie,Théâtre Silvia Monfort,<b>Du 4 juin 2024 au 15 juin 2024</b>,variable
399,Kids,La Scala Paris,<b>Du 1 mars 2024 au 6 avril 2024</b>,variable
400,Entre-temps,Théâtre Pixel,,variable
401,La Loi du marcheur,Théâtre de la Bastille,<b>Du 3 mai 2024 au 29 mai 2024</b>,variable
402,À la recherche des canards perdus - Cartographie 1,Théâtre de l'Atelier,<b>Du 23 avril 2024 au 18 juin 2024</b>,variable
403,Oui,Odéon - Ateliers Berthier,<b>Du 24 mai 2024 au 15 juin 2024</b>,variable
404,J'ai si peu parlé ma propre langue,Théâtre de la Reine Blanche,<b>Du 11 janvier 2024 au 3 février 2024</b>,variable
405,Mémoire(s),Le Funambule Montmartre,<b>Du 9 janvier 2024 au 27 février 2024</b>,variable
406,Nom,Théâtre du Rond-Point,<b>Du 19 mars 2024 au 6 avril 2024</b>,variable
407,Tristesse et joie dans la vie des girafes,Théâtre du Rond-Point,<b>Du 23 février 2024 au 3 mars 2024</b>,variable
408,"Moi, Kadhafi",La Scala Paris,<b>Du 9 janvier 2024 au 21 janvier 2024</b>,variable
409,La nuit sera blanche,Théâtre de l'Aquarium - Cartoucherie,<b>Du 18 janvier 2024 au 27 janvier 2024</b>,variable
410,La Solitude des mues,Théâtre de la Tempête - Cartoucherie,<b>Du 13 janvier 2024 au 11 février 2024</b>,variable
411,Krach !,Le Mouffetard - Théâtre des arts de la marionnette,<b>Du 14 mars 2024 au 31 mars 2024</b>,variable
412,Des ombres et des armes,La Manufacture des Abbesses,<b>Du 18 janvier 2024 au 14 avril 2024</b>,variable
413,"Orgueil, poursuite et décapitation",Théâtre Clavel,<b>Du 13 décembre 2023 au 27 décembre 2023</b>,variable
414,Un homme qui dort,Théâtre L'Essaïon,<b>Du 23 novembre 2023 au 29 février 2024</b>,variable
415,Mille et une Layla,Théo Théâtre,<b>Du 18 octobre 2023 au 10 avril 2024</b>,variable
416,Thérapie,Théâtre Pixel,<b>Du 18 septembre 2023 au 17 juin 2024</b>,variable
417,Le Frigo,Théâtre Darius Milhaud,<b>Du 2 novembre 2023 au 28 décembre 2023</b>,variable
418,Un escalier pour la paix,Théâtre Darius Milhaud,<b>Du 6 décembre 2023 au 21 février 2024</b>,variable
419,La Fontaine à travers l'Histoire,Comédie Saint-Michel,<b>Du 1 juillet 2023 au 4 janvier 2024</b>,variable
420,Lettres à un jeune poète,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 14 mars 2024 au 24 mars 2024</b>,variable
421,Histoires d'amour improvisées,Comédie des Trois Bornes,<b>Du 7 janvier 2024 au 21 janvier 2024</b>,variable
422,Harvey,Théâtre de Nesle,<b>Du 5 janvier 2024 au 15 janvier 2024</b>,variable
423,Hortense Belhôte : Une histoire du football féminin,Chaillot – Théâtre National de la Danse,<b>Le 14 juin 2024</b>,variable
424,Ce qu'il faut dire,Théâtre de la Reine Blanche,<b>Du 21 février 2024 au 10 mars 2024</b>,variable
425,La beauté sauvera le Monde,Théâtre L'Essaïon,<b>Du 29 janvier 2024 au 19 mars 2024</b>,variable
426,Kevin,Théâtre du Rond-Point,<b>Du 23 avril 2024 au 11 mai 2024</b>,variable
427,Abysses,Le Centquatre (104),<b>Du 18 janvier 2024 au 20 janvier 2024</b>,variable
428,Item,Théâtre de l'Aquarium - Cartoucherie,<b>Du 15 mars 2024 au 24 mars 2024</b>,variable
429,Portrait d'une femme,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 8 février 2024 au 18 février 2024</b>,variable
430,Abysses,Théâtre 13 - Bibliothèque,<b>Du 28 février 2024 au 9 mars 2024</b>,variable
431,Farben,Le Mouffetard - Théâtre des arts de la marionnette,<b>Du 17 janvier 2024 au 27 janvier 2024</b>,variable
432,Nous étions la forêt,L'Étoile du Nord,<b>Le 27 janvier 2024</b>,variable
433,Le Portrait de Dorian Gray,Laurette Théâtre,<b>Du 13 janvier 2024 au 30 mars 2024</b>,variable
434,Futur,Les Plateaux sauvages,<b>Du 29 janvier 2024 au 10 février 2024</b>,variable
435,"Antigone II, Métro Charonne le 8 février 1962",Théâtre Mélo d'Amélie,<b>Du 24 septembre 2023 au 28 avril 2024</b>,variable
436,19.5 :  Le dix-neuvième en cinq actes,Théâtre L'Essaïon,<b>Du 15 novembre 2023 au 28 février 2024</b>,variable
437,Un mois à la campagne,Théâtre du Nord-Ouest,<b>À partir du  2 septembre 2021.</b>,variable
438,Le Pain de ménage,Théâtre du Nord-Ouest,<b>Du 12 mai 2023 au 2 janvier 2024</b>,variable
439,Michaël Louchart : Un père à aimer,La Divine Comédie,<b>Du 19 septembre 2023 au 24 avril 2024</b>,variable
440,Salomon Abramovski roi d'Angleterre !,Les Rendez-Vous d'Ailleurs,<b>Du 30 septembre 2023 au 31 décembre 2023</b>,variable
441,Les Possédés d'Illfurth,Théâtre du Rond-Point,<b>Du 14 mai 2024 au 1 juin 2024</b>,variable
442,Cavalières,La Colline - Théâtre national,<b>Du 5 mars 2024 au 31 mars 2024</b>,variable
443,Voyage d'un Arlequin contemporain,Théâtre L'Essaïon,<b>Du 13 janvier 2024 au 6 avril 2024</b>,variable
444,Fantômes,Théâtre de la Ville - Sarah Bernhardt,<b>Du 27 février 2024 au 9 mars 2024</b>,variable
445,La Tour de la défense,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 25 avril 2024 au 12 mai 2024</b>,variable
446,Jamais deux sans douze,Théâtre Douze,<b>Du 7 mars 2024 au 10 mars 2024</b>,variable
447,Inconnu à cette adresse,Théâtre Douze,<b>Du 25 avril 2024 au 5 mai 2024</b>,variable
448,ADN : Alexandra David-Néel,Théâtre de l'Île Saint-Louis,<b>Du 4 novembre 2023 au 23 décembre 2023</b>,variable
449,Eva Peron,Théâtre Darius Milhaud,<b>Du 11 novembre 2023 au 27 janvier 2024</b>,variable
450,Painkiller,La Colline - Théâtre national,<b>Du 6 mars 2024 au 30 mars 2024</b>,variable
451,Porn For The Blind,Théâtre des Béliers Parisiens,<b>Du 21 janvier 2024 au 11 février 2024</b>,variable
452,"Les Petits Chevaux, une histoire d'enfants des Lebensborn",Théâtre de la Reine Blanche,<b>Du 10 février 2024 au 9 mars 2024</b>,variable
453,Le Moment psychologique,La Scala Paris,<b>Du 1 février 2024 au 11 février 2024</b>,variable
454,PUNK.E.S,La Scala Paris,<b>Du 27 mars 2024 au 6 avril 2024</b>,variable
455,L'Addition,Théâtre Silvia Monfort,<b>Du 30 janvier 2024 au 3 février 2024</b>,variable
456,Huit rois (nos présidents) - Intégrale,Théâtre 13 - Glacière,<b>Du 15 juin 2024 au 29 juin 2024</b>,variable
457,Nos âmes faibles,La Manufacture des Abbesses,<b>Du 22 janvier 2024 au 14 février 2024</b>,variable
458,Alexandra et Dominique Duvivier - Signatures,Le Double Fond,<b>Du 22 mars 2024 au 19 juillet 2024</b>,variable
459,Brasser de l'air et s'envoler,La Flèche,<b>Du 10 janvier 2024 au 13 mars 2024</b>,variable
460,Le Tissu des rêves,Théâtre Darius Milhaud,<b>Du 13 janvier 2024 au 16 mars 2024</b>,variable
461,Les Doubles Vies de Sarah Bernhardt,Théâtre Darius Milhaud,<b>Du 10 décembre 2023 au 31 mars 2024</b>,variable
462,Le Journal d'un fou,Théâtre L'Essaïon,<b>Du 19 avril 2024 au 27 juillet 2024</b>,variable
463,Old up,Théâtre de la Reine Blanche,<b>Du 17 janvier 2024 au 18 février 2024</b>,variable
464,"Jean Zay, l'homme complet",Théâtre L'Essaïon,<b>Du 16 janvier 2024 au 26 mars 2024</b>,variable
465,La Meringue du souterrain,Théâtre du Rond-Point,<b>Du 5 juin 2024 au 15 juin 2024</b>,variable
466,Poings,Théâtre Silvia Monfort,<b>Du 26 avril 2024 au 4 mai 2024</b>,variable
467,Dispak Dispac'h,Théâtre Silvia Monfort,<b>Du 21 mars 2024 au 31 mars 2024</b>,variable
468,RAPT,Le Centquatre (104),<b>Du 24 janvier 2024 au 27 janvier 2024</b>,variable
469,Huit rois (nos présidents) - J. Chirac / F. Mitterrand,Théâtre 13 - Glacière,<b>Du 14 juin 2024 au 27 juin 2024</b>,variable
470,Tellement sympa,IVT - International Visual Théâtre,<b>Du 5 mars 2024 au 18 mars 2024</b>,variable
471,Une vampire au soleil,Théâtre Dunois,<b>Du 27 février 2024 au 9 mars 2024</b>,variable
472,Dr Jekyll and Mr Hyde,Alhambra,<b>Le 14 mai 2024</b>,variable
473,Sur les ruines de Babel L,La Divine Comédie,<b>Du 8 janvier 2024 au 12 janvier 2024</b>,variable
474,Okiss,La Flèche,<b>Du 13 janvier 2024 au 16 mars 2024</b>,variable
475,Le Cri,Théâtre Darius Milhaud,<b>Du 9 janvier 2024 au 26 mars 2024</b>,variable
476,La nuit c'est comme ça,Les Plateaux sauvages,<b>Du 22 avril 2024 au 30 avril 2024</b>,variable
477,Armande Sanseverino / Gaël Germain : En pièce jointe,Les Plateaux sauvages,<b>Du 13 mai 2024 au 17 mai 2024</b>,variable
478,Marcus,Comédie Bastille,<b>Du 16 septembre 2023 au 30 décembre 2023</b>,variable
479,Pôvre vieille démocrasseuse,Théâtre L'Essaïon,<b>Du 8 octobre 2023 au 14 janvier 2024</b>,variable
480,Adieu Marquise,Théâtre du Nord-Ouest,<b>À partir du  29 décembre 2022.</b>,variable
481,L'Ingénu,Théâtre L'Essaïon,<b>Du 1 mars 2024 au 31 mars 2024</b>,variable
482,Artaud passion,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 22 février 2024 au 10 mars 2024</b>,variable
483,Un soir avec... Charles Berling,Théâtre des Mathurins,<b>Le 29 janvier 2024</b>,variable
484,Le Papier peint jaune,Théâtre de la Reine Blanche,<b>Du 13 mars 2024 au 14 avril 2024</b>,variable
485,Looking for Jaurès,Théâtre L'Essaïon,<b>Du 23 janvier 2024 au 2 avril 2024</b>,variable
486,"Quand je serai grande... tu seras une femme, ma fille",Théâtre L'Essaïon,<b>Le 27 janvier 2024</b>,variable
